股票编号,年份（年末）,总股本,每股资本公积,每股未分配利润,基本每股收益,基本每股收益同比增长(%),每股净资产,每股现金流,每股营业收入,摊薄净资产收益率同比增长(%),净利润同比增长,上市年限,交通运输、仓储和邮政业,住宿和餐饮业,信息传输、软件和信息技术服务业,制造业,房地产业,批发和零售业,电力、热力、燃气及水生产和供应业,综合,采矿业,是否有行业龙头概念,股价（年末最后20个交易日收盘价加权平均）,股价年化波动率,本年送转比例,近两年送转比例平均,次年是否高送转
4,4,174575386.0,0.7386,1.0333,0.11,10.0,3.2044,-0.0234,5.3921,13.0438,353.3184,19,0,0,0,0,0,1,0,0,0,0,12.046006449421695,0.3568346448048639,0.0,0.0,0.0
4,5,174575386.0,0.7386,1.0838,0.0583,-47.0,3.2628,-0.0617,5.6369,-48.8793,-72.9895,20,0,0,0,0,0,1,0,0,0,0,17.808919512984833,0.7907706734713676,0.04,0.02,0.0
4,6,174575386.0,0.7386,1.0993,0.0667,14.4082,3.2894,0.466,5.4372,13.3941,-31.7487,21,0,0,0,0,0,1,0,0,0,0,16.32762282059959,0.6145679034303935,0.04,0.04,0.0
6,2,120000000.0,3.4125,1.073,0.16,-48.3871,5.6195,-0.0438,1.0972,-7.3067,-3.5404,2,0,0,0,1,0,0,0,0,0,0,3.054354238829152,0.5473615736717741,0.95,0.7749999999999999,0.0
6,3,216000000.0,1.4514,0.6501,0.15,-6.25,3.1893,-0.2944,0.7007,-7.2089,-2.4267,3,0,0,0,1,0,0,0,0,0,0,3.299926536731318,0.4635569266351325,0.05,0.5,1.0
6,4,216000000.0,1.4514,0.7559,0.0795,-47.0,3.3144,-0.9287,0.8753,11.8292,0.2986,4,0,0,0,1,0,0,0,0,0,0,4.679106614881532,0.3710586773526096,1.3,0.675,0.0
6,5,478475500.0,0.1359,0.3799,0.0971,22.1384,1.5481,0.1989,0.4248,17.8791,26.9196,5,0,0,0,1,0,0,0,0,0,0,9.32511657218648,0.7961147228094354,0.049975,0.6749875000000001,0.0
6,6,478265500.0,0.1329,0.3843,0.0618,-36.3543,1.5594,-0.3862,0.3489,-36.4466,-30.5121,6,0,0,0,1,0,0,0,0,0,0,7.369475263919999,0.3940990031465186,0.0,0.0249875,0.0
8,5,200100000.0,3.2847,2.2464,0.48,-29.4118,6.7854,3.0017,17.3072,-40.7562,5.1504,1,0,0,0,1,0,0,0,0,0,0,15.277187827775656,0.24923363895665565,0.9,0.45,0.0
8,6,300150000.0,1.8565,1.5801,0.39,-18.75,4.6488,-1.0964,13.9546,6.0422,8.9766,2,0,0,0,1,0,0,0,0,0,0,21.74182755413761,0.6812245739468896,0.15,0.525,0.0
9,2,456192000.0,0.0608,0.1383,0.0641,-41.2466,1.2465,0.0594,1.5309,-44.8399,-28.2323,12,0,0,0,1,0,0,0,0,0,0,4.620741558519779,0.4039487614414621,0.02,0.01,0.0
9,3,456192000.0,0.0769,0.1889,0.0741,15.6006,1.3154,-0.0866,1.6577,9.5114,10.3951,13,0,0,0,1,0,0,0,0,0,0,4.82765238127963,0.3732310334047063,0.023,0.0215,0.0
9,4,456192000.0,0.077,0.2612,0.1065,43.7247,1.399,0.2869,1.9959,35.2172,29.3698,14,0,0,0,1,0,0,0,0,0,0,6.634290609518237,0.3474577613947829,0.032,0.0275,0.0
9,5,456192000.0,0.1064,0.2626,0.031,-70.892,1.4231,-0.1233,1.9066,-71.4199,-64.5265,15,0,0,0,1,0,0,0,0,0,0,7.84741994867355,0.7069491185001627,0.011000000000000001,0.0215,1.0
9,6,540742345.0,1.8885,0.309,0.0657,111.9355,3.2382,0.1325,1.5542,39.7831,211.5241,16,0,0,0,1,0,0,0,0,0,0,6.394152103158247,0.4272781031262911,0.53,0.2705,0.0
11,6,78400000.0,3.3167,2.2414,0.61,-34.4086,6.9687,1.0099,5.3059,-37.109,23.9306,1,0,0,0,1,0,0,0,0,0,0,23.86294588481741,0.5676630697110867,0.55,0.415,0.0
12,6,400010000.0,1.3679,1.7123,0.97,14.1176,4.6087,1.7581,10.7402,-42.5138,19.3932,1,0,0,0,0,0,0,0,0,0,0,31.79064665812696,0.4511459190223133,0.16,0.08,1.0
13,2,800200000.0,6.6209,1.8837,0.78,0.0,9.9494,-0.2316,2.2017,-1.4563,-0.3855,3,0,0,0,1,0,0,0,0,0,0,10.401907495792539,0.29722700790938433,0.6,0.6,0.0
13,3,800200000.0,6.596,1.6321,0.3966,-49.1538,9.9801,-0.6726,1.891,-49.3338,-49.1657,4,0,0,0,1,0,0,0,0,0,0,12.468231925958776,0.2890763389141887,0.3,0.45,0.0
13,4,800200000.0,6.596,1.7097,0.4227,6.5809,10.3347,-2.4047,2.448,2.9419,6.9912,5,0,0,0,1,0,0,0,0,0,0,16.363202294621313,0.2984479208991876,0.3,0.3,1.0
13,5,800200000.0,6.596,2.1343,0.4574,8.2091,10.8961,0.0736,2.8647,62.562,69.4079,6,0,0,0,1,0,0,0,0,0,0,20.614752398847674,0.4548106415622717,1.2,0.75,0.0
13,6,1247201704.0,3.3826,1.2715,0.3165,-30.8045,6.3913,0.2889,1.8128,-25.1218,-32.0308,7,0,0,0,1,0,0,0,0,0,0,17.58643910155702,0.3161857358488617,0.25,0.725,0.0
14,2,409260000.0,0.2418,0.2471,0.05,115.1515,1.5258,-0.1463,1.7005,114.7321,113.682,7,0,0,0,1,0,0,0,0,0,0,1.2640194222572407,0.4616681174405319,0.0,0.0,0.0
14,3,409260000.0,0.2213,0.3157,0.07,40.0,1.5996,0.1083,4.5623,31.0486,39.8187,8,0,0,0,1,0,0,0,0,0,0,1.6380467465651007,0.4324834519882649,0.0,0.0,0.0
14,4,628893943.0,1.8937,0.2145,0.01,-85.7143,3.2307,-0.0465,2.9797,-93.4599,-87.5008,9,0,0,0,1,0,0,0,0,0,0,2.9969311614020366,0.4134471029131117,0.0,0.0,0.0
14,5,728727553.0,2.3076,0.4503,0.27,2600.0,3.9328,0.0785,1.8062,2307.8186,5882.687,10,0,0,0,1,0,0,0,0,0,0,4.690600836748491,0.4829290110756101,0.0,0.0,0.0
14,6,2530877229.0,0.5866,0.2624,0.11199999999999999,-58.5185,2.0811,0.121,0.4058,-20.0243,29.3864,11,0,0,0,1,0,0,0,0,0,0,5.001967414893861,0.4545010386239234,0.0,0.0,0.0
15,2,133340000.0,2.7439,1.1209,0.39,-43.4783,5.0147,-1.7556,3.6405,-28.993000000000002,-25.4731,2,0,0,0,0,0,1,0,0,0,1,1.5199610842232285,0.3871548078157562,0.04,0.5700000000000001,0.0
15,3,133340000.0,2.7439,1.2793,0.39,0.0,5.2109,-0.6424,3.3475,-42.1286,-44.0514,3,0,0,0,0,0,1,0,0,0,1,2.7212679959542547,0.3909021965550857,0.045,0.0425,0.0
15,4,211801535.0,6.5931,0.9187,0.08,-79.4872,8.6417,0.4183,3.9746,-59.6752,0.155,4,0,0,0,0,0,1,0,0,0,1,6.170267979172545,0.5729473730868461,0.03,0.0375,1.0
15,5,644404605.0,1.8898,0.5612,0.27,237.5,3.2165,0.3266,6.2335,350.8153,480.506,5,0,0,0,0,0,1,0,0,0,1,16.66364232552897,0.8554618507210776,1.053,0.5415,0.0
15,6,1429110371.0,1.506,0.5012,0.29,7.4074,2.9432,0.6977,5.9736,13.6253,157.2855,6,0,0,0,0,0,1,0,0,0,1,17.930832850982267,0.4853765719289148,0.055999999999999994,0.5545,0.0
16,2,457784742.0,0.0835,0.3473,0.03,0.0,1.6276,-0.2813,0.1165,-7.3418,8.715,21,0,0,0,0,0,0,0,1,0,0,2.1923819073396245,0.3939484612957023,0.01,0.005,0.0
16,3,457784742.0,0.0172,0.5844,0.26,766.6667,1.8117,0.0421,0.0792,675.7133,848.0623,22,0,0,0,0,0,0,0,1,0,0,5.514074621814699,0.5676035610718564,0.15,0.08,0.0
16,4,457784742.0,0.0172,0.5867,0.18,-30.7692,1.8208,0.1626,0.0804,-32.6029,-32.6894,23,0,0,0,0,0,0,0,1,0,0,6.6368396678958925,0.4327743145183529,0.07,0.11,1.0
16,5,457784742.0,0.0128,0.6091,0.11,-38.8889,9.2584,0.0738,0.0975,-87.8131,-36.8098,24,0,0,0,0,0,0,0,1,0,0,13.975956361751008,0.7000765174184266,0.54,0.30500000000000005,0.0
16,6,686677113.0,0.0119,0.1235,0.09,-18.1818,3.944,0.048,0.0705,89.5513,19.0365,25,0,0,0,0,0,0,0,1,0,0,16.416438350773973,0.563310258823241,0.03,0.28500000000000003,0.0
17,2,507000000.0,2.861,1.651,0.28,-48.1481,5.7414,0.0233,4.5481,-7.4579999999999975,0.9473,3,0,0,0,1,0,0,0,0,0,0,4.392480983778351,0.3967499438345048,0.25,0.125,0.0
17,3,1014000000.0,0.9295,1.0928,0.42,50.0,3.4905,-0.7507,2.6099,24.8757,52.6883,4,0,0,0,1,0,0,0,0,0,0,7.9404177170133075,0.3945549238708373,0.1,0.175,0.0
17,4,1014000000.0,0.9486,1.4254,0.48,14.2857,3.8236,0.0194,2.8265,3.7181,13.6652,5,0,0,0,1,0,0,0,0,0,0,12.28932814493866,0.3889572638034076,0.2,0.15000000000000002,0.0
17,5,1014000000.0,0.9603,1.6548,0.47,-2.0833,3.9671,0.6673,3.1326,-4.8002,-0.8952,6,0,0,0,1,0,0,0,0,0,0,18.298650056436927,0.6938902890176,0.1,0.15000000000000002,0.0
17,6,1075247700.0,1.8511,1.9818,0.58,23.4043,5.2322,0.9275,3.3512,-7.3751,31.3041,7,0,0,0,1,0,0,0,0,0,0,16.170473303426036,0.4584261021000824,0.1,0.1,0.0
18,2,182454992.0,9.2711,3.3161,1.63,-14.2105,15.1914,-3.3641,6.1224,-2.6872,-14.8901,3,0,0,0,1,0,0,0,0,0,0,27.98319567845623,0.2679612318249307,0.8,0.8500000000000001,1.0
18,3,182454992.0,9.2711,3.9679,1.61,-1.227,16.025,0.0386,5.7241,-6.5145,-2.8998,4,0,0,0,1,0,0,0,0,0,0,36.50205106020263,0.33147610348691703,0.6,0.7,0.0
18,4,182454992.0,9.2711,3.8274,0.51,-68.32300000000001,15.9484,-1.8649,4.2406,-68.1463,-68.2974,5,0,0,0,1,0,0,0,0,0,0,32.53928266684216,0.2486937048288189,0.31,0.455,0.0
18,5,182454992.0,9.2711,4.0859,0.63,23.5294,16.2777,-0.2376,4.2464,20.4793,22.9635,6,0,0,0,1,0,0,0,0,0,0,48.37282972291441,0.5912527717956804,0.4,0.355,0.0
18,6,182454992.0,9.2711,4.2819,0.63,0.0,16.5254,-0.6443,4.6414,-0.299,1.2168,7,0,0,0,1,0,0,0,0,0,0,41.43677743763668,0.4087631951350723,0.3,0.35,0.0
19,2,321744887.0,2.0943106967213114,2.557,0.5938,0.0168,3.6513,-0.1866,15.4265,-15.793,-1.7935,19,0,0,1,0,0,0,0,0,0,0,13.682059829084285,0.3548933982001416,0.2,0.1,0.0
19,3,321744887.0,0.0622,2.8579,0.7581,27.6692,3.9178,0.2034,17.3346,18.977,30.0937,20,0,0,1,0,0,0,0,0,0,0,14.722981162724086,0.3860014561812953,0.23,0.215,0.0
19,4,321744887.0,1.8831834372564304,3.3463,0.7759999999999999,2.3612,4.3717,0.2289,17.8727,-8.2642,1.4406,21,0,0,1,0,0,0,0,0,0,0,29.75552766438744,0.4881968311344484,0.25,0.24,1.0
19,5,321744887.0,0.0769,3.9686,0.7321,-5.6572,5.1565,0.9506,18.8391,3.9745,18.4203,22,0,0,1,0,0,0,0,0,0,0,38.0792514562632,0.8247932506104352,0.65,0.45,0.0
19,6,419807414.0,-0.0877,3.4006,0.6576,-10.1762,4.4334,-0.2849,14.4291,-19.9311,-11.6679,23,0,0,1,0,0,0,0,0,0,0,23.925996576881577,0.4081781317744788,0.2,0.425,0.0
21,2,3487458977.0,1.0033,1.3865,0.44799999999999995,0.6742,3.574,-0.5075,15.3513,-9.9981,4.1271,16,0,0,0,0,0,0,0,0,0,1,4.431856798087416,0.2893851679111084,0.135,0.1175,0.0
21,3,3487458977.0,0.8535,1.7014,0.45399999999999996,1.3393,3.9139,0.506,17.069000000000006,-7.3851,3.7468,17,0,0,0,0,0,0,0,0,0,1,3.5022163043397714,0.23577041332472204,0.10400000000000001,0.1195,0.0
21,4,4604777412.0,1.5682,0.8464,0.4920000000000001,8.37,4.0389,0.483,15.5502,-1.3996,43.3715,18,0,0,0,0,0,0,0,0,0,1,7.265863606280979,0.347306260127182,0.15,0.127,0.0
21,5,4604777412.0,1.6315,1.2632,0.583,18.4959,4.3956,1.4493,17.8673,15.7944,22.3937,19,0,0,0,0,0,0,0,0,0,1,7.093598067492592,0.6568518127307366,0.175,0.16249999999999998,0.0
21,6,4604777412.0,1.6473,1.7129,0.6859999999999999,17.6672,4.8911,0.8663,21.7718,-33.5091,30.5326,20,0,0,0,0,0,0,0,0,0,1,8.164094061053962,0.3907593219570972,0.20600000000000002,0.1905,0.0
26,2,2581220000.0,1.8,0.8005,0.36,-16.2791,3.8911,-0.0388,4.2852,46.5504,50.4519,19,0,0,0,0,0,0,1,0,0,0,2.417789080346101,0.22090907061625573,0.72,0.42,1.0
26,3,3871830000.0,0.9756,0.7354,0.24,-33.3333,2.9868,-0.0329,3.5462,-7.5283,10.4361,20,0,0,0,0,0,0,1,0,0,0,2.0257155960191247,0.32702118163603583,0.8,0.76,0.0
26,4,5807745000.0,0.1428,0.4752,0.23,-4.1667,1.8317,-0.0095,2.3475,7.3533,0.6807,21,0,0,0,0,0,0,1,0,0,0,3.7347756415070807,0.31391933807556066,0.18,0.49,0.0
26,5,5807745000.0,0.1429,0.3953,0.12,-47.8261,1.7690000000000001,-0.0112,1.8646,-46.8676,-41.0637,22,0,0,0,0,0,0,1,0,0,0,4.307051482162868,0.6610210836907207,0.06,0.12,0.0
26,6,5807745000.0,0.3531,0.4094,0.07,-41.6667,2.0117,-0.004,1.6808,-51.6678,-46.9466,23,0,0,0,0,0,0,1,0,0,0,2.9972020570822857,0.2960830115904579,0.023,0.0415,0.0
27,6,96913800.0,1.6317,2.5586,0.27,-25.0,5.5508,-0.0431,2.6459,-33.8684,-13.7893,1,0,0,0,1,0,0,0,0,0,0,36.49827506039925,0.5469384236601119,0.055,0.0275,0.0
28,2,224250000.0,0.2708,0.5264,0.29,11.5385,2.1621,0.5511,3.0823,-12.6625,14.949000000000002,8,0,0,0,0,0,0,0,0,0,1,1.8074183190235844,0.3986803451045136,0.2,0.15000000000000002,0.0
28,3,224250000.0,0.0028,0.2011,-0.03,-110.3448,1.5557,-0.0775,3.3833,-113.1524,-167.3731,9,0,0,0,0,0,0,0,0,0,1,1.9731448510627057,0.3864687224916069,0.05,0.125,0.0
28,4,732748260.0,1.8688,1.2053,0.2,766.6667,6.3416,1.2927,6.3799,651.2701,422.3913,10,0,0,0,0,0,0,0,0,0,1,2.7924839711479996,0.26571622624712776,0.32,0.185,1.0
28,5,1210741353.0,1.0862,0.4379,0.13,-35.0,2.5244,0.4361,1.7357,-13.5664,96.5083,11,0,0,0,0,0,0,0,0,0,1,10.659678661422,0.7350139296199888,1.0,0.66,0.0
28,6,2421482706.0,1.0238,0.3959,0.17,30.7692,2.4205,0.0043,1.7816,-9.5001,73.2906,12,0,0,0,0,0,0,0,0,0,1,8.873800332873332,0.2892110198902287,0.015,0.5075,0.0
29,5,318280000.0,3.7027,2.3756,0.21,-78.125,7.3610000000000015,0.5395,3.1642,-70.7256,-46.9271,1,0,0,0,1,0,0,0,0,0,0,12.634010611684596,0.7316519642030567,1.07,0.5850000000000001,0.0
29,6,636560000.0,1.3513,1.2891,0.15,-28.5714,3.7969999999999997,0.2233,1.4153,-26.4187,-29.5974,2,0,0,0,1,0,0,0,0,0,0,10.944607593978144,0.4805239268112984,0.02,0.545,0.0
30,2,227000000.0,1.3976,-0.4486,0.19,-38.7097,2.1119,0.2065,7.0407,-44.3686,-34.3521,15,0,0,0,1,0,0,0,0,0,0,5.544658559759216,0.4708874136130939,0.0,0.0,0.0
30,3,227000000.0,1.4207,-0.41100000000000003,0.04,-78.9474,2.1682,-0.1371,6.1336,-80.4959,-69.1056,16,0,0,0,1,0,0,0,0,0,0,5.164030637408756,0.36154941012653535,0.0,0.0,0.0
30,4,227000000.0,1.5535,-0.7919,-0.38,-1050.0,1.9206,0.0074,6.8687,-1241.9656,-613.2312,17,0,0,0,1,0,0,0,0,0,0,8.431956792604947,0.44930081291258395,0.0,0.0,0.0
30,5,227000000.0,1.5777,-1.6867,-0.89,-134.2105,1.0521,-0.0683,6.237,-328.7606,-145.2299,18,0,0,0,1,0,0,0,0,0,0,14.304682285869605,0.7167637566899816,0.0,0.0,0.0
30,6,227000000.0,1.7123,-1.5819,0.1,111.236,1.2887,-0.0383,4.7219999999999995,109.2954,111.4905,19,0,0,0,1,0,0,0,0,0,0,15.115550294672998,0.4601693377132404,0.0,0.0,0.0
31,2,848016733.0,3.1247,1.7504,0.61,-12.8571,6.0896,0.7668,8.5531,-30.6049,66.0422,5,0,0,0,1,0,0,0,0,0,1,9.708622416469543,0.34390960747700217,0.95,0.475,0.0
31,3,1526430119.0,1.2858,1.6615,0.86,40.9836,4.15,0.1896,6.5832,17.427,43.4543,6,0,0,0,1,0,0,0,0,0,1,17.312673205500413,0.4782130026889565,0.1,0.525,0.0
31,4,1526430119.0,1.3429,2.5546,1.09,26.7442,5.4578,1.4741,8.3194,-3.5489,27.1637,7,0,0,0,1,0,0,0,0,0,1,12.558948415863776,0.3429582025482384,0.1,0.1,0.0
31,5,1526459692.0,1.3356,3.1665,0.82,-24.7706,6.1614,-0.1221,8.9462,-33.1329,-26.3553,8,0,0,0,1,0,0,0,0,0,1,16.594327264451607,0.6001387027998122,0.1,0.1,1.0
31,6,1526629845.0,1.3079,4.0679,0.54,-34.1463,6.8342,-0.4598,12.6312,14.4714,29.7116,9,0,0,0,1,0,0,0,0,0,1,13.247514877229266,0.4101603605629812,1.15,0.625,0.0
32,6,200200000.0,0.7231,1.9602,0.33,17.8571,3.9083,0.0982,3.9041,-4.7899,40.6176,1,0,0,0,1,0,0,0,0,0,0,27.163938243064212,0.5621881170289272,0.09,0.045,0.0
33,2,459888172.0,1.1117,0.7275,0.1665,16.515,2.9075,0.8168,5.9944,-24.8741,13.6849,15,0,0,0,1,0,0,0,0,0,0,3.4955599484544684,0.3393267107734943,0.0,0.0,0.0
33,3,459888172.0,1.1117,0.8713,0.156,-6.3063,3.0628,-0.1502,5.3724,-1.0301,10.7057,16,0,0,0,1,0,0,0,0,0,0,5.6652773969571735,0.4138623724446311,0.0,0.0,0.0
33,4,459888172.0,1.2093,1.4587,0.4,156.4103,3.7639,-0.7339,6.9167,126.6284,163.1723,17,0,0,0,1,0,0,0,0,0,0,9.099459533832984,0.4551325739818015,0.06,0.03,1.0
33,5,511403323.0,1.5785,1.6616,0.2129,-46.775,4.3442,0.4343,6.5213,-15.5191,17.3675,18,0,0,0,1,0,0,0,0,0,0,14.77621264014888,0.7579228288953839,1.1,0.5800000000000001,0.0
33,6,1022806646.0,0.2724,0.965,0.1863,-12.4941,2.2957,0.0552,3.8284,-16.7576,-14.7776,19,0,0,0,1,0,0,0,0,0,0,10.69519012742551,0.4226070899227839,0.02,0.56,0.0
34,2,103350000.0,3.9259,2.0714,0.47,-43.3735,7.2093,0.2848,1.8867,5.7147,12.5785,3,0,0,0,1,0,0,0,0,0,0,3.061134772134064,0.33400274158733456,1.5,1.0,0.0
34,3,206700000.0,1.463,1.033,0.33,-29.7872,3.6818,-0.2668,0.8411,-31.8268,-30.3687,4,0,0,0,1,0,0,0,0,0,0,4.576897680642898,0.4684357483734996,0.1,0.8,0.0
34,4,214599453.0,1.756,0.9181,0.023,-93.0303,3.853,-0.0146,0.8343,-93.2591,-87.1734,5,0,0,0,1,0,0,0,0,0,0,4.785468581632203,0.375645370141552,0.1,0.1,1.0
34,5,214599453.0,1.756,0.9277,0.0436,89.5652,3.8627,-0.0434,0.7692,371.2139,297.8582,6,0,0,0,1,0,0,0,0,0,0,9.75175009486952,0.4451563398698954,1.6,0.8500000000000001,0.0
34,6,660399255.0,1.1735,0.3251,0.0453,3.8991,2.5932,0.1831,0.3608,-35.9768,38.3439,7,0,0,0,1,0,0,0,0,0,0,8.681371190819062,0.5687009547732303,0.1,0.8500000000000001,0.0
35,2,103030000.0,3.4234,0.7932,0.09,-55.0,5.2896,-1.8643,6.6025,-15.9569,-6.7099,3,0,0,0,0,0,1,0,0,0,0,1.7097127080433543,0.4257174103142297,1.097859,0.5989295,0.0
35,3,205284991.0,1.1987,0.2827,-0.04,-144.4444,2.5463,0.138,3.0586,-152.1003,-145.1655,4,0,0,0,0,0,1,0,0,0,0,2.267638100001166,0.4500302974025235,0.05,0.5739295,1.0
35,4,203723519.0,1.1792,0.3302,0.05,225.0,2.6641,0.1043,2.4091,329.0442,375.4252,5,0,0,0,0,0,1,0,0,0,0,7.386998053542221,0.5865005205076422,1.15,0.6,1.0
35,5,534763213.0,1.9741,0.1394,0.04,-20.0,3.1739,-0.0958,3.3125,-44.1186,54.1291,6,0,0,0,0,0,1,0,0,0,0,11.551629655215693,1.0730944543880128,1.05,1.1,0.0
35,6,1069526426.0,0.4871,0.2182,0.19,375.0,1.7508,0.2154,3.9476,385.3804,462.55300000000005,7,0,0,0,0,0,1,0,0,0,0,9.075118910989016,0.5661232712174439,0.121272,0.5856359999999999,0.0
36,2,276800000.0,1.4462,-1.2122,0.05,-87.8049,1.3454,0.134,5.0925,-87.554,-87.4266,16,0,0,0,1,0,0,0,0,0,0,4.8579087218609205,0.4031687849147815,0.0,0.0,0.0
36,3,276800000.0,1.4462,-1.7853,-0.57,-1240.0,0.7724,0.183,3.2111,-1994.2423,-1232.8134,17,0,0,0,1,0,0,0,0,0,0,4.119866797778573,0.36606340196737575,0.0,0.0,0.0
36,4,342926168.0,2.9954,-1.1145,0.17,129.8246,3.0048,1.2507,3.5939,108.4584,139.7048,18,0,0,0,1,0,0,0,0,0,0,5.589025074822699,0.3054819300226552,0.0,0.0,1.0
36,5,444486764.0,2.6203,-0.7113,-0.01,-105.8824,3.0158,-0.9341,3.5597,-107.2812,-111.875,19,0,0,0,1,0,0,0,0,0,0,7.09419721879963,0.5827122258067555,1.0,0.5,0.0
36,6,1133684103.0,0.9441,-0.2484,0.03,400.0,1.7376,0.3553,1.4564,484.2197,518.1266,20,0,0,0,1,0,0,0,0,0,0,6.587514739061683,0.5943801490665612,0.0,0.5,0.0
37,5,40800000.0,3.9396,3.4112,0.8079,-17.771,8.726,0.8599,4.1417,-42.9059,7.3576,1,0,0,0,1,0,0,0,0,0,0,52.584823660694724,0.8481078940772105,1.2,0.7,0.0
37,6,81600000.0,1.4698,2.0005,0.4304,-46.7261,4.7583,-1.2231,2.1475,-0.2195,8.8201,2,0,0,0,1,0,0,0,0,0,0,45.93775075212336,0.5259756666475506,0.25,0.725,0.0
38,5,88000000.0,2.6887,2.4738,0.38,-32.1429,6.4973,0.4885,4.7405,-46.2917,-22.2023,1,0,0,0,1,0,0,0,0,0,0,53.39408535780207,0.7190554932667346,0.125,0.0625,0.0
38,6,88000000.0,2.6887,2.4516,0.12,-68.4211,6.4886,-0.5684,3.4882,-64.5656,-64.6136,2,0,0,0,1,0,0,0,0,0,0,40.31422321846023,0.4600664308664255,0.04,0.0825,0.0
39,4,179500000.0,1.1923,0.8922,0.2,-28.5714,3.1843,0.0433,2.5061,-49.955,-24.9481,1,0,0,0,1,0,0,0,0,0,0,13.254203841625626,0.4902816254272051,0.1,0.05,1.0
39,5,179500000.0,1.1923,0.9279,0.08,-60.0,3.2345,0.0396,2.6875,-6.9056,-5.4378,2,0,0,0,1,0,0,0,0,0,0,12.593653214955056,0.5046743022950224,1.11,0.6050000000000001,0.0
39,6,446198794.0,2.2652,0.4386,0.13,62.5,3.7593,-0.0087,1.4561,-34.4038,89.5196,3,0,0,0,1,0,0,0,0,0,0,11.11181115560205,0.5188120105497809,0.05,0.5800000000000001,0.0
40,2,1279077898.0,0.4316,1.6684,0.2998,-37.5547,3.2169,0.4156,3.0887,-36.5727,-27.1086,11,0,0,0,1,0,0,0,0,0,1,4.29294925834758,0.4041940360349526,0.5,0.25,0.0
40,3,1719160378.0,0.9729,1.1091,0.15,-49.9666,3.2227,0.5508,1.9623,-61.9069,-49.5679,12,0,0,0,1,0,0,0,0,0,1,4.725129554030708,0.3307252979500387,0.05,0.275,0.0
40,4,1719160378.0,0.9729,1.2144,0.16,6.6667,3.3418,-0.0499,2.0062,14.052,12.6697,13,0,0,0,1,0,0,0,0,0,1,6.767780772974701,0.4243112218659397,0.0,0.025,0.0
