股票编号,年份（年末）,总股本,每股资本公积,每股未分配利润,基本每股收益,基本每股收益同比增长(%),每股净资产,每股净资产相对年初增长(%),每股现金流,每股营业收入,营业收入同比增速(%),加权平均净资产收益率,摊薄净资产收益率同比增长(%),净利润同比增长,上市年限,交通运输、仓储和邮政业,住宿和餐饮业,信息传输、软件和信息技术服务业,农、林、牧、渔业,制造业,卫生和社会工作,建筑业,房地产业,批发和零售业,教育,文化、体育和娱乐业,水利、环境和公共设施管理业,电力、热力、燃气及水生产和供应业,科学研究和技术服务业,租赁和商务服务业,综合,采矿业,金融业,是否次新股,股价（年末最后20个交易日收盘价加权平均）,股价年化波动率,本年送转比例,近两年送转比例平均,次年是否送转,次年是否高送转
3,3,1180880000.0,0.6257,0.11199999999999999,0.063,1475.0,1.8197,3.392,-0.2012,0.6307,57.4328,3.55,1553.9411,1610.9583,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0900802858639125,0.27968182861469,0.02,0.02,1.0,0.0
3,4,1180880000.0,0.6357,0.09699999999999999,0.005,-92.0635,1.8148,-0.2693,0.0448,0.6546,3.7843,0.28,-91.9126,-91.9312,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5909320876201347,0.3377882247104246,0.01,0.015,0.0,0.0
3,5,1510550000.0,0.6763,0.0285,-0.04,-900.0,1.7690000000000001,-2.5237,-0.0343,0.3737,-26.985,-2.24,-893.5037,-1088.3049,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.183194642532999,0.7139396201858343,0.0,0.005,0.0,0.0
3,6,1510550000.0,0.6763,0.0221,-0.006,85.0,1.7628,-0.3505,0.028999999999999998,0.3725,-0.3038,-0.34,84.4585,84.4783,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.418584279276701,0.5020546426423403,0.0,0.0,0.0,0.0
3,7,1510550000.0,0.6971,0.0167,-0.0042,30.0,1.7783,0.8793,0.0384,0.7709999999999999,106.9816,-0.17,31.3759,19.077,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14685477573468,0.3386034459173907,0.0,0.0,,
4,1,174575386.0,0.7415,0.7744,0.09,12.5,2.888,3.2055,-0.3521,4.9542,17.1202,3.16,14.4505,43.8998,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.4991310586364115,0.371242901604192,0.0,,1.0,0.0
4,2,174575386.0,0.7415,0.8953,0.13,44.4444,3.0152,4.4044,-0.1416,5.2607,6.1863,4.31,35.7371,24.7369,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.543899944992416,0.37239352565825823,0.04,0.02,0.0,0.0
4,3,174575386.0,0.7386,0.9257,0.1,-23.0769,3.0923,2.557,0.0793,5.745,9.2055,3.13,-26.6151,-59.4077,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.538597834562238,0.3845229217853769,0.0,0.02,0.0,0.0
4,4,174575386.0,0.7386,1.0333,0.11,10.0,3.2044,3.6251,-0.0234,5.3921,-6.1423,3.56,13.0438,353.3184,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.046006449421697,0.3568346448048639,0.0,0.0,1.0,0.0
4,5,174575386.0,0.7386,1.0838,0.0583,-47.0,3.2628,1.8225,-0.0617,5.6369,4.5408,1.8,-48.8793,-72.9895,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.808919512984833,0.7907706734713676,0.04,0.02,1.0,0.0
4,6,174575386.0,0.7386,1.0993,0.0667,14.4082,3.2894,0.8153,0.466,5.4372,-3.5439999999999996,2.04,13.3941,-31.7487,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.32762282059959,0.6145679034303935,0.04,0.04,1.0,0.0
4,7,174575386.0,0.7376,1.1485,0.0943,41.3793,3.3428,1.6234,-0.2602,5.7989999999999995,6.6554,2.84,39.1645,243.9481,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.988561424184567,0.3543100962290642,0.33,0.185,,
5,7,68000000.0,3.6358,3.1277,0.91,9.6386,7.8629,49.5587,1.59,4.3329,11.5584,13.79,-37.6888,24.2551,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.64678145055067,0.5355382327808248,0.25,0.125,,
6,1,80000000.0,5.6187,1.3232,0.31,-51.5625,8.1001,209.1641,5.1613,1.3728,-1.6575,6.41,-77.5447,-7.4946,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.317477315274889,0.4120653306968748,0.6,,1.0,1.0
6,2,120000000.0,3.4125,1.073,0.16,-48.3871,5.6195,-30.6243,-0.0438,1.0972,19.8883,5.2,-7.3067,-3.5404,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0543542388291516,0.5473615736717741,0.95,0.7749999999999999,1.0,0.0
6,3,216000000.0,1.4514,0.6501,0.15,-6.25,3.1893,-43.2458,-0.2944,0.7007,14.9542,4.84,-7.2089,-2.4267,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.299926536731318,0.4635569266351325,0.05,0.5,1.0,1.0
6,4,216000000.0,1.4514,0.7559,0.0795,-47.0,3.3144,3.9225,-0.9287,0.8753,24.9189,5.4,11.8292,0.2986,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679106614881532,0.3710586773526096,1.3,0.675,1.0,0.0
6,5,478475500.0,0.1359,0.3799,0.0971,22.1384,1.5481,-53.2917,0.1989,0.4248,7.5043,6.37,17.8791,26.9196,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32511657218648,0.7961147228094354,0.049975,0.6749875000000001,0.0,0.0
6,6,478265500.0,0.1329,0.3843,0.0618,-36.3543,1.5594,0.7299,-0.3862,0.3489,-17.9024,3.98,-36.4466,-30.5121,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.369475263919999,0.3940990031465186,0.0,0.0249875,1.0,0.0
6,7,477407350.0,0.1199,0.5029,0.1289,108.5761,1.6855,8.0864,0.2625,0.6588,88.4653,7.94,93.3394,107.2772,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.809341925953476,0.2992047707536529,0.1,0.05,,
7,7,180000000.0,1.8208,1.1136,0.37,-33.9286,4.0953,-13.3948,0.0541,4.6724,9.7016,9.44,-49.8298,-13.359000000000002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.369545803955873,0.6758293604594247,0.067,0.367,,
8,5,200100000.0,3.2847,2.2464,0.48,-29.4118,6.7854,,3.0017,17.3072,43.8462,13.18,-40.7562,5.1504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.277187827775656,0.24923363895665565,0.9,0.45,1.0,0.0
8,6,300150000.0,1.8565,1.5801,0.39,-18.75,4.6488,-31.4882,-1.0964,13.9546,20.9437,8.59,6.0422,8.9766,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74182755413761,0.6812245739468896,0.15,0.525,1.0,0.0
8,7,300150000.0,1.8565,1.8621,0.49,25.641,4.9854,7.2406,-0.5805,22.1736,58.898,10.13,15.7852,24.1686,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65194635519571,0.3305590706841155,0.05,0.1,,
9,1,456192000.0,0.0489,0.0767,0.1091,3.0217,1.1705,-24.5617,0.0215,1.6747,-4.4405,9.56,13.7854,-1.8155,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.877503493452214,0.3792054102282755,0.0,,1.0,0.0
9,2,456192000.0,0.0608,0.1383,0.0641,-41.2466,1.2465,6.492999999999999,0.0594,1.5309,-8.5862,5.3,-44.8399,-28.2323,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.620741558519779,0.4039487614414621,0.02,0.01,1.0,0.0
9,3,456192000.0,0.0769,0.1889,0.0741,15.6006,1.3154,5.5275,-0.0866,1.6577,8.2844,5.77,9.5114,10.3951,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82765238127963,0.3732310334047063,0.023,0.0215,1.0,0.0
9,4,456192000.0,0.077,0.2612,0.1065,43.7247,1.399,6.3555,0.2869,1.9959,20.4032,7.84,35.2172,29.3698,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.634290609518237,0.3474577613947829,0.032,0.0275,1.0,0.0
9,5,456192000.0,0.1064,0.2626,0.031,-70.892,1.4231,1.7227,-0.1233,1.9066,-4.4766,2.64,-71.4199,-64.5265,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84741994867355,0.7069491185001627,0.011000000000000001,0.021500000000000002,1.0,1.0
9,6,540742345.0,1.8885,0.309,0.0657,111.9355,3.2382,127.5455,0.1325,1.5542,-3.3742,3.25,39.7831,211.5241,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.394152103158247,0.42727810312629105,0.53,0.2705,1.0,0.0
9,7,811113518.0,0.9289,0.2627,0.0815,24.0487,2.2319,-31.0759,0.1591,1.506,45.3458,3.71,20.1256,21.7687,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7130605490027495,0.569898425144417,0.033,0.28150000000000003,,
10,7,408000000.0,2.5651,4.2078,1.62,8.7248,8.0305,1.0304,-1.2813,10.2746,27.680999999999997,21.5,7.2051,22.7508,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.517738071211575,0.3940290228073469,0.5,0.45,,
11,6,78400000.0,3.3167,2.2414,0.61,-34.4086,6.9687,,1.0099,5.3059,1.6001,15.02,-37.109,23.9306,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.862945884817414,0.5676630697110867,0.55,0.41500000000000004,1.0,0.0
11,7,119520000.0,2.0553,1.7561,0.57,-6.5574,4.9553,-28.892,-0.2829,4.2589999999999995,22.3685,14.15,9.8827,19.6742,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.795534220555005,0.4202117650639582,0.4,0.47500000000000003,,
12,6,400010000.0,1.3679,1.7123,0.97,14.1176,4.6087,,1.7581,10.7402,26.5498,28.49,-42.5138,19.3932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.790646658126956,0.4511459190223133,0.16,0.08,1.0,1.0
12,7,400010000.0,1.3679,2.5048,0.7,-27.8351,5.3669,16.4515,-0.0664,12.4014,15.4663,19.79,-6.6819,4.3263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.168638306360002,0.4565921912978913,0.597,0.3785,,
13,1,800200000.0,6.6198,1.7868,0.78,-75.0799,9.7681,-51.0976,0.6438,3.1174,-35.2637,8.01,-47.4131,-48.7971,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.903553109329328,0.4146507708919599,0.6,,1.0,1.0
13,2,800200000.0,6.6209,1.8837,0.78,0.0,9.9494,1.8559999999999999,-0.2316,2.2017,-29.3741,7.99,-1.4563,-0.3855,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.401907495792539,0.29722700790938433,0.6,0.6,1.0,0.0
13,3,800200000.0,6.596,1.6321,0.3966,-49.1538,9.9801,0.3086,-0.6726,1.891,-14.1133,4.0,-49.3338,-49.1657,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.468231925958776,0.2890763389141887,0.3,0.44999999999999996,1.0,0.0
13,4,800200000.0,6.596,1.7097,0.4227,6.5809,10.3347,3.5531,-2.4047,2.448,29.4543,4.17,2.9419,6.9912,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.363202294621313,0.2984479208991876,0.3,0.3,1.0,1.0
13,5,800200000.0,6.596,2.1343,0.4574,8.2091,10.8961,5.4322,0.0736,2.8647,17.0221,6.8,62.562,69.4079,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.614752398847674,0.4548106415622717,1.2,0.75,1.0,0.0
13,6,1247201704.0,3.3826,1.2715,0.3165,-30.8045,6.3913,-41.3432,0.2889,1.8128,-1.3684,4.84,-25.1218,-32.0308,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58643910155702,0.3161857358488617,0.25,0.725,1.0,0.0
13,7,1247201704.0,3.5776,1.1284,0.1577,-50.1738,6.2789,-1.7586,-0.8614,2.2798,25.7624,1.69,-49.5632,-48.4676,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.810842821307087,0.2612093444515844,0.045,0.1475,,
14,1,409260000.0,0.2353,0.1973,-0.33,29.7872,1.4695,-45.6626,-0.3385,1.5997,-3.2889999999999997,-24.38,-41.8779,-54.6173,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.238264932350552,0.5768070254331865,0.0,,0.0,0.0
14,2,409260000.0,0.2418,0.2471,0.05,115.1515,1.5258,3.8312,-0.1463,1.7005,6.3025,2.83,114.7321,113.682,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2640194222572407,0.4616681174405319,0.0,0.0,0.0,0.0
14,3,409260000.0,0.2213,0.3157,0.07,40.0,1.5996,4.8368,0.1083,4.5623,168.2897,4.38,31.0486,39.8187,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6380467465651007,0.4324834519882649,0.0,0.0,0.0,0.0
14,4,628893943.0,1.8937,0.2145,0.01,-85.7143,3.2307,101.9692,-0.0465,2.9797,0.3627,0.85,-93.4599,-87.5008,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9969311614020366,0.4134471029131117,0.0,0.0,0.0,0.0
14,5,728727553.0,2.3076,0.4503,0.27,2600.0,3.9328,21.7321,0.0785,1.8062,-29.761,7.53,2307.8186,5882.687,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.690600836748491,0.4829290110756101,0.0,0.0,0.0,0.0
14,6,2530877229.0,0.5866,0.2624,0.11199999999999999,-58.5185,2.0811,-47.0835,0.121,0.4058,-32.595,8.17,-20.0243,29.3864,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.001967414893861,0.4545010386239234,0.0,0.0,1.0,0.0
14,7,2633836290.0,0.6308,0.3195,0.10800000000000001,-3.5714,2.0157,-3.1426,-0.0152,3.6965,997.3616,5.55,-1.3275,12.3821,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.623069264566267,0.24833000827388044,0.05,0.025,,
15,1,66670000.0,6.4878,1.6616,0.69,-20.6897,9.3439,206.1667,6.6295,7.3033,20.8117,36.75,-61.2582,58.0538,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1090955154306292,0.14229312392480556,1.1,,1.0,0.0
15,2,133340000.0,2.7439,1.1209,0.39,-43.4783,5.0147,-46.3318,-1.7556,3.6405,-0.3058,8.1,-28.993000000000002,-25.4731,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5199610842232285,0.3871548078157562,0.04,0.5700000000000001,1.0,0.0
15,3,133340000.0,2.7439,1.2793,0.39,0.0,5.2109,3.9125,-0.6424,3.3475,-8.0487,4.62,-42.1286,-44.0514,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7212679959542547,0.3909021965550857,0.045,0.042499999999999996,1.0,0.0
15,4,211801535.0,6.5931,0.9187,0.08,-79.4872,8.6417,65.8389,0.4183,3.9746,88.5991,4.18,-59.6752,0.155,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.170267979172545,0.5729473730868461,0.03,0.0375,1.0,1.0
15,5,644404605.0,1.8898,0.5612,0.27,237.5,3.2165,-62.7793,0.3266,6.2335,370.5056,8.81,350.8153,480.506,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.66364232552897,0.8554618507210776,1.053,0.5415,1.0,0.0
15,6,1429110371.0,1.506,0.5012,0.29,7.4074,2.9432,-8.4968,0.6977,5.9736,115.5342,13.55,13.6253,157.2855,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.930832850982267,0.4853765719289148,0.055999999999999994,0.5545,1.0,0.0
15,7,1435110371.0,1.551,0.9656,0.52,79.3103,3.3909,15.2113,0.0233,9.7678,64.2035,16.62,64.8472,79.0775,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.461802728115238,0.3446406142458361,0.053,0.05449999999999999,,
16,1,457784742.0,0.0176,0.3185,0.03,-91.6667,1.5318,-24.8159,0.3401,0.1578,-95.3214,2.0,-91.3679,-91.8868,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.248901284229342,0.3401777810607178,0.0,,1.0,0.0
16,2,457784742.0,0.0835,0.3473,0.03,0.0,1.6276,6.2541,-0.2813,0.1165,-26.1873,1.9,-7.3418,8.715,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1923819073396245,0.3939484612957023,0.01,0.005,1.0,0.0
16,3,457784742.0,0.0172,0.5844,0.26,766.6667,1.8117,11.3111,0.0421,0.0792,-31.9888,15.04,675.7133,848.0623,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.514074621814699,0.5676035610718564,0.15,0.08,1.0,0.0
16,4,457784742.0,0.0172,0.5867,0.18,-30.7692,1.8208,0.5023,0.1626,0.0804,1.5199,9.78,-32.6029,-32.6894,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.6368396678958925,0.4327743145183529,0.07,0.11,1.0,1.0
16,5,457784742.0,0.0128,0.6091,0.11,-38.8889,9.2584,408.4798,0.0738,0.0975,21.2507,1.96,-87.8131,-36.8098,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.975956361751008,0.7000765174184266,0.54,0.30500000000000005,1.0,0.0
16,6,686677113.0,0.0119,0.1235,0.09,-18.1818,3.944,-57.4008,0.048,0.0705,8.4259,1.41,89.5513,19.0365,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.416438350773973,0.563310258823241,0.03,0.28500000000000003,1.0,0.0
16,7,686677113.0,0.0114,0.1749,0.09,0.0,3.571,-9.4574,-0.2558,0.0746,5.805,2.29,14.782,3.5035,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.181941186114164,0.3168342526685159,0.03,0.03,,
17,1,507000000.0,2.8602,1.1477,0.54,-12.9032,5.1866,-49.5933,-0.9758,4.261,14.7589,10.67,1.7559,1.0068,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673413992646716,0.4033657248418989,0.0,,1.0,0.0
17,2,507000000.0,2.861,1.651,0.28,-48.1481,5.7414,10.6968,0.0233,4.5481,6.7379,10.17,-7.457999999999999,0.9473,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.392480983778351,0.3967499438345048,0.25,0.125,1.0,0.0
17,3,1014000000.0,0.9295,1.0928,0.42,50.0,3.4905,-39.2047,-0.7507,2.6099,14.7711,12.74,24.8757,52.6883,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.940417717013307,0.3945549238708373,0.1,0.175,1.0,0.0
17,4,1014000000.0,0.9486,1.4254,0.48,14.2857,3.8236,9.543,0.0194,2.8265,8.2974,13.71,3.7181,13.6652,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28932814493866,0.3889572638034076,0.2,0.15000000000000002,1.0,0.0
17,5,1014000000.0,0.9603,1.6548,0.47,-2.0833,3.9671,3.753,0.6673,3.1326,10.8308,12.0,-4.8002,-0.8952,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.298650056436927,0.6938902890176,0.1,0.15000000000000002,1.0,0.0
17,6,1075247700.0,1.8511,1.9818,0.58,23.4043,5.2322,31.8898,0.9275,3.3512,13.4374,11.92,-7.3751,31.3041,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.170473303426036,0.4584261021000824,0.1,0.1,0.0,0.0
17,7,1075247700.0,1.8747,2.3482,0.51,-12.069,5.5553,6.1752,-0.32899999999999996,3.9810000000000003,18.7962,9.49,-16.875,-12.1559,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.007542699179295,0.2673079466287335,0.0,0.05,,
18,1,182454992.0,12.0198,2.7231,1.9,55.7377,17.2116,19.52,-0.5894,5.4679,35.1886,12.12,42.2937,61.6944,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.20141054462537,0.3042267102184169,0.9,,1.0,1.0
18,2,182454992.0,9.2711,3.3161,1.63,-14.2105,15.1914,-11.7374,-3.3641,6.1224,11.9694,9.46,-2.6872,-14.8901,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.98319567845623,0.2679612318249307,0.8,0.8500000000000001,1.0,1.0
18,3,182454992.0,9.2711,3.9679,1.61,-1.227,16.025,5.4873,0.0386,5.7241,-6.5054,10.42,-6.5145,-2.8998,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.50205106020263,0.33147610348691703,0.6,0.7,1.0,0.0
18,4,182454992.0,9.2711,3.8274,0.51,-68.32300000000001,15.9484,-0.478,-1.8649,4.2406,-25.9166,3.19,-68.1463,-68.2974,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.53928266684216,0.24869370482881886,0.31,0.45499999999999996,1.0,0.0
18,5,182454992.0,9.2711,4.0859,0.63,23.5294,16.2777,2.0648,-0.2376,4.2464,0.1365,3.89,20.4793,22.9635,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.37282972291441,0.5912527717956804,0.4,0.355,1.0,0.0
18,6,182454992.0,9.2711,4.2819,0.63,0.0,16.5254,1.5217,-0.6443,4.6414,9.3021,3.87,-0.299,1.2168,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43677743763668,0.4087631951350723,0.3,0.35,1.0,0.0
18,7,182454992.0,9.2711,4.5646,0.64,1.5873,16.8793,2.1416,3.3498,5.6421,21.5598,3.83,-1.0719,1.0475,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18316055062922,0.23898682568341084,0.3,0.3,,
19,1,171031500.0,0.7354,3.7165,0.5937,613.5817,5.7831,265.9958,0.9259999999999999,23.0448,160.8541,7.05,266.9555,586.2874,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.80563776746166,0.4404796778033398,0.0,,1.0,0.0
19,2,321744887.0,,2.557,0.5938,0.0168,3.6513,-36.8626,-0.1866,15.4265,25.9304,17.7,-15.793,-1.7935,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.682059829084285,0.3548933982001416,0.2,0.1,1.0,0.0
19,3,321744887.0,0.0622,2.8579,0.7581,27.6692,3.9178,7.2988,0.2034,17.3346,12.3686,19.15,18.977,30.0937,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.722981162724086,0.3860014561812953,0.23,0.21500000000000002,1.0,0.0
19,4,321744887.0,,3.3463,0.7759999999999999,2.3612,4.3717,11.5856,0.2289,17.8727,3.1044,18.69,-8.2642,1.4406,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75552766438744,0.4881968311344484,0.25,0.24,1.0,1.0
